red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Conor McGregor,+187,Max Holloway,-222,Welterweight,Men,5,2001
Benoit Saint Denis,-153,Paddy Pimblett,+130,Lightweight,Men,3,2001
Cory Sandhagen,-137,Mario Bautista,+117,Bantamweight,Men,3,2001
Brandon Royval,+180,Lone'er Kavanagh,-214,Flyweight,Men,3,2001
King Green,+114,Terrance McKinney,-134,Lightweight,Men,3,2001
Nikita Krylov,+113,Robert Whittaker,-132,Light Heavyweight,Men,3,2001
Gable Steveson,-2632,Elisha Ellison,+1232,Heavyweight,Men,3,2001
Cody Garbrandt,+327,Adrian Yanez,-411,Bantamweight,Men,3,2001
Luke Riley,-261,Kai Kamaka III,+217,Featherweight,Men,3,2001
Tracy Cortez,-109,Wang Cong,-107,Women's Flyweight,Women,3,2001
Damian Pinas,-251,Cesar Almeida,+209,Middleweight,Men,3,2001
Ryan Gandra,-130,Zach Reese,+111,Middleweight,Men,3,2001
Alessandro Costa,-243,Cody Durden,+203,Flyweight,Men,3,2001

red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Dricus Du Plessis,-225,Kamaru Usman,+193,Middleweight,Men,5,1201
Jared Cannonier,+323,Christian Leroy Duncan,-394,Middleweight,Men,3,1201
Chase Hooper,-360,Mitch Ramirez,+298,Lightweight,Men,3,1201
Tabatha Ricci,+368,Fatima Kline,-456,Women's Strawweight,Women,3,1201
Tommy McMillen,-161,Alberto Montes,+140,Featherweight,Men,3,1201
Austin Bashi,-110,Jose Delgado,-104,Featherweight,Men,3,1201
Jean-Paul Lebosnoyani,+161,Seokhyeon Ko,-186,Welterweight,Men,3,1201
Levi Rodrigues Jr.,-151,Felipe Franco,+131,Light Heavyweight,Men,3,1201
Alden Coria,-1059,Stewart Nicoll,+733,Flyweight,Men,3,1201
RJ Harris,+100,Alvin Hines,-115,Heavyweight,Men,3,1201
Anna Melisano,+474,Dione Barbosa,-612,Women's Flyweight,Women,3,1201
Ezra Elliott,+110,Damien Anderson,-126,Featherweight,Men,3,1201

red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Magomed Ankalaev,-517,Bogdan Guskov,+399,Light Heavyweight,Men,5,89
Steve Erceg,-107,Ramazan Temirov,-109,Flyweight,Men,3,89
Islam Dulatov,-950,Wellington Turman,+648,Welterweight,Men,3,89
Magomed Zaynukov,-295,Damian Rzepecki,+243,Lightweight,Men,3,89
Rizvan Kuniev,-335,Tyrell Fortune,+273,Heavyweight,Men,3,89
Abubakar Vagaev,-251,Saygid Izagakhmaev,+209,Welterweight,Men,3,89
Valter Walker,-175,Thomas Petersen,+149,Heavyweight,Men,3,89
Dustin Jacoby,-178,Muhammad Saidov,+151,Light Heavyweight,Men,3,89
Santiago Ponzinibbio,+361,Sam Patterson,-460,Welterweight,Men,3,89
Ismael Bonfim,+177,Axel Sola,-210,Lightweight,Men,3,89
Magomed Tuchalov,-810,Brendson Ribeiro,+574,Light Heavyweight,Men,3,89
Nurullo Aliev,-224,Mike Davis,+188,Lightweight,Men,3,89
Cody Gibson,+415,Abdul Hussein,-542,Bantamweight,Men,3,89

red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Uros Medic,-400,Daniel Rodriguez,+328,Welterweight,Men,5,256
Jan Blachowicz,+270,Navajo Stirling,-323,Light Heavyweight,Men,3,256
Aleksandar Rakic,-368,Marcin Tybura,+304,Heavyweight,Men,3,256
Dusko Todorovic,+136,Robert Valentin,-156,Middleweight,Men,3,256
Vlasto Cepo,-333,Gilbert Urbina,+278,Middleweight,Men,3,256
Milos Janicic,-101,Noah Gugnon,-114,Lightweight,Men,3,256
Ludovit Klein,-235,Tofiq Musayev,+201,Lightweight,Men,3,256
Oban Elliott,+320,Michael Oliveira,-389,Welterweight,Men,3,256
Borislav Nikolic,-184,Mark Vologdin,+159,Bantamweight,Men,3,256
Dennis Buzukja,+171,Bogdan Grad,-198,Featherweight,Men,3,256
Mateusz Rebecki,-680,Kyle Prepolec,+517,Lightweight,Men,3,256
Nina Milosevic,-479,Hailey Cowan,+384,Women's Bantamweight,Women,3,256
Jovan Leka,-266,Alexander Poppeck,+225,Heavyweight,Men,3,256
Marina Spasic,+279,Stephanie Luciano,-335,Women's Strawweight,Women,3,256


red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Mateusz Gamrot,+121,Quillan Salkilld,-142,Lightweight,Men,5,2380
Diego Ferreira,-176,Billy Quarantillo,+150,Lightweight,Men,3,2380
Darren Elkins,+596,Yadier del Valle,-850,Featherweight,Men,3,2380
Amanda Lemos,+219,Alexia Thainara,-263,Women's Strawweight,Women,3,2380
Billy Ray Goff,+332,Ty Miller,-406,Welterweight,Men,3,2380
Steven Asplund,-294,Guilherme Pat,+247,Heavyweight,Men,3,2380
Diyar Nurgozhay,-143,Bruno Lopes,+124,Light Heavyweight,Men,3,2380
Louie Sutherland,-187,Jose Montanha,+162,Heavyweight,Men,3,2380
Manoel Sousa,-296,Richie Miranda,+250,Lightweight,Men,3,2380
Miles Johns,-160,Gianni Vazquez,+137,Featherweight,Men,3,2380
Juliana Miller,-286,Ravena Oliveira,+242,Women's Flyweight,Women,3,2380
Gigi Canuto,+211,Carol Foro,-254,Women's Strawweight,Women,3,2380


red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Islam Makhachev,-278,Ian Machado Garry,+225,Welterweight,Men,5,20
Mackenzie Dern,-142,Gillian Robertson,+120,Women's Strawweight,Women,5,20
Jalin Turner,-260,Kaue Fernandes,+215,Lightweight,Men,3,20
Dustin Stoltzfus,+350,Mansur Abdul-Malik,-450,Middleweight,Men,3,20
Esteban Ribovics,+245,Edson Barboza,-300,Lightweight,Men,3,20
Chidi Njokuani,+245,Joel Alvarez,-300,Welterweight,Men,3,20
Charles Johnson,-150,Eduardo Chapolin,+130,Catch Weight,Men,3,20
Donte Johnson,-350,Eric McConico,+280,Middleweight,Men,3,20
Tresean Gore,+135,Vicente Luque,-155,Middleweight,Men,3,20
Lucas Fernando,-180,Rafael Tobias,+157,Light Heavyweight,Men,3,20
Neil Magny,-105,Ramiz Brahimaj,-115,Welterweight,Men,3,20
Jeremiah Wells,+316,Myktybek Orolbai,-400,Welterweight,Men,3,20


red_fighter,red_odds,blue_fighter,blue_odds,weight_class,gender,rounds,elevation

Anthony Hernandez,-174,Gregory Rodrigues,+148,Middleweight,Men,5,30 ... (26)
Serghei Spivac,+132,Vitor Petrino,-155,Heavyweight,Men,3,30
Reinier de Ridder,-395,Roman Dolidze,+316,Light Heavyweight,Men,3,30
MarQuel Mederos,+228,Mason Jones,-275,Lightweight,Men,3,30
