feature,perm_ll_increase,status,max_corr_retained,best_retained_match,w_consensus
d_sig_str_pm,-5.335044638103229e-05,dropped,0.912476031266842,d_r3_sig_str_pm,
d_sig_str_att_pm,-0.0004992812093618607,retained,,,0.0776203224746744
d_str_pm,0.00041736574881282945,retained,,,0.3579670304291663
d_str_att_pm,-0.00021728209476930735,retained,,,0.1438797672818487
d_kd_pm,-0.0003905315398119817,dropped,0.9491660934705105,d_chin_vs_power,
d_sig_str_acc,0.00013285083420070767,retained,,,0.4844643917835219
d_str_acc,0.0020948861641740444,retained,,,0.8216805213219667
d_td_acc,-9.960051672556573e-05,retained,,,0.3022807659280832
d_td_p15,-0.0001360621988904335,dropped,0.9879170646898272,d_td_td_p15,
d_td_att_p15,-0.0013348504897272573,retained,,,0.7506123620882315
d_sub_att_p15,5.429410088778989e-05,retained,,,0.125811694474778
d_rev_p15,0.00014061852546406092,retained,,,0.1959977562551676
d_ctrl_pct,0.00017115504774689594,dropped,0.9063239127134907,d_ewm_ctrl_pct,
d_head_pct,-0.0006595843953377164,retained,,,0.3709040455432608
d_body_pct,-0.0002136874169490488,retained,,,0.2274417758198308
d_leg_pct,0.00047123895936518334,retained,,,0.4461460131380209
d_distance_pct,1.778055990656983e-05,retained,,,0.1458221877234133
d_clinch_pct,9.830856132586607e-05,retained,,,0.2271095139843879
d_ground_pct,0.000821542241086289,retained,,,0.2424048729593186
d_def_sig_str_pm,-0.00034055018263982423,dropped,0.9805155559213864,d_td_def_sig_str_pm,
d_def_str_pm,-0.0005712825871497795,retained,,,0.892295804998013
d_def_kd_pm,-5.8166507345654615e-05,retained,,,0.2494345996288829
d_def_td_p15,-4.491922178292048e-05,retained,,,0.1621212083758127
d_def_sub_att_p15,0.0012754559284066842,retained,,,0.4797644225612581
d_def_ctrl_pct,0.00011668364097498311,retained,,,0.293156822444023
d_def_sig_str_acc,0.0002945161290523283,dropped,1.0000000000000002,d_sig_str_defense_rate,
d_net_sig_str_pm,0.0001746545930893332,retained,,,0.345494451935461
d_net_kd_pm,-7.485423939986487e-06,retained,,,0.1544910034974907
d_net_td_p15,-0.000118102453551631,retained,,,0.177395755748584
d_net_ctrl_pct,0.00011840635925305006,retained,,,0.22971420920343
d_sig_str_defense_rate,0.00016435839125591065,retained,,,0.5713698794003984
d_td_defense_rate,0.00015005416702325766,retained,,,0.4142954635473509
d_height,-0.0001077960371403582,retained,,,0.5254079837951006
d_reach,0.003525804541240296,retained,,,0.6998153721723943
d_ape_index,0.0004064726516329979,retained,,,0.5836266142818215
d_weight,-0.00017902894447078635,retained,,,0.9249753191294728
d_age,0.016281665116853843,retained,,,0.9941901465071306
d_num_fights,0.001834855050202829,retained,,,0.5244007193052861
d_total_time_min,0.00043554536549639256,retained,,,0.4225845303170726
d_avg_time_min,-0.000151258561472134,retained,,,0.5072634766150304
d_title_bout_pct,-0.0002848835506753522,retained,,,0.2046771307154621
d_win_rate,0.0005972440394227396,retained,,,0.5637477151162256
d_ko_win_pct,0.0001875623367922167,retained,,,0.4125169353657096
d_sub_win_pct,0.0001484547845708173,retained,,,0.3386344788130653
d_dec_win_pct,0.00015461802930523869,retained,,,0.4017747112408877
d_finish_rate,-2.6082945027705584e-05,retained,,,0.3189687531592264
d_ko_loss_pct,-6.757241831286305e-05,dropped,1.0000000000000002,d_durability,
