window,test_span,gid,y,gender,division,config,p,is_men
0,[6618-7117],6618,1,men,Catch Weight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6619,1,women,Women's Featherweight,A: top-240 WITHOUT alt,0.8333333333333334,False
0,[6618-7117],6620,0,women,Women's Flyweight,A: top-240 WITHOUT alt,0.6380368098159509,False
0,[6618-7117],6621,0,men,Middleweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6622,1,men,Welterweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6623,1,men,Light Heavyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6624,0,men,Lightweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6625,1,men,Flyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6626,1,women,Women's Flyweight,A: top-240 WITHOUT alt,0.44,False
0,[6618-7117],6627,1,men,Light Heavyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6628,0,men,Featherweight,A: top-240 WITHOUT alt,0.3333333333333333,True
0,[6618-7117],6629,1,men,Lightweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6630,1,men,Heavyweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6631,1,men,Welterweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6632,0,men,Featherweight,A: top-240 WITHOUT alt,0.3333333333333333,True
0,[6618-7117],6633,1,men,Catch Weight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6634,1,women,Women's Strawweight,A: top-240 WITHOUT alt,0.6380368098159509,False
0,[6618-7117],6635,0,men,Bantamweight,A: top-240 WITHOUT alt,0.3333333333333333,True
0,[6618-7117],6636,0,men,Light Heavyweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6637,0,men,Bantamweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6638,0,men,Middleweight,A: top-240 WITHOUT alt,0.3333333333333333,True
0,[6618-7117],6639,0,women,Women's Flyweight,A: top-240 WITHOUT alt,0.49390243902439024,False
0,[6618-7117],6640,1,men,Featherweight,A: top-240 WITHOUT alt,0.4,True
0,[6618-7117],6641,1,women,Women's Flyweight,A: top-240 WITHOUT alt,0.49390243902439024,False
0,[6618-7117],6642,1,men,Featherweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6643,1,men,Middleweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6644,1,men,Lightweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6645,1,men,Light Heavyweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6646,0,men,Light Heavyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6647,1,men,Welterweight,A: top-240 WITHOUT alt,0.44,True
0,[6618-7117],6648,0,men,Bantamweight,A: top-240 WITHOUT alt,0.3333333333333333,True
0,[6618-7117],6649,1,men,Flyweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6650,0,men,Heavyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6651,0,women,Women's Strawweight,A: top-240 WITHOUT alt,0.8333333333333334,False
0,[6618-7117],6652,1,men,Bantamweight,A: top-240 WITHOUT alt,0.8,True
0,[6618-7117],6653,0,men,Light Heavyweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6654,0,men,Featherweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6655,1,women,Women's Flyweight,A: top-240 WITHOUT alt,0.49390243902439024,False
0,[6618-7117],6656,1,men,Welterweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6657,1,men,Lightweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6658,1,men,Featherweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6659,0,men,Heavyweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6660,0,men,Lightweight,A: top-240 WITHOUT alt,0.4,True
0,[6618-7117],6661,1,men,Flyweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6662,0,women,Women's Flyweight,A: top-240 WITHOUT alt,0.4,False
0,[6618-7117],6663,1,men,Middleweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6664,1,men,Bantamweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6665,1,women,Women's Bantamweight,A: top-240 WITHOUT alt,0.4,False
0,[6618-7117],6666,1,men,Featherweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6667,1,men,Welterweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6668,0,men,Flyweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6669,0,men,Welterweight,A: top-240 WITHOUT alt,0.4,True
0,[6618-7117],6670,0,women,Women's Flyweight,A: top-240 WITHOUT alt,0.4,False
0,[6618-7117],6671,1,men,Heavyweight,A: top-240 WITHOUT alt,0.8333333333333334,True
0,[6618-7117],6672,1,men,Lightweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6673,1,men,Bantamweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6674,1,women,Women's Strawweight,A: top-240 WITHOUT alt,0.6335877862595419,False
0,[6618-7117],6675,1,men,Heavyweight,A: top-240 WITHOUT alt,0.44,True
0,[6618-7117],6676,0,men,Welterweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6677,0,women,Women's Bantamweight,A: top-240 WITHOUT alt,0.49390243902439024,False
0,[6618-7117],6678,1,men,Middleweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6679,1,men,Welterweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6680,1,women,Women's Strawweight,A: top-240 WITHOUT alt,0.6335877862595419,False
0,[6618-7117],6681,0,men,Welterweight,A: top-240 WITHOUT alt,0.3333333333333333,True
0,[6618-7117],6682,1,men,Bantamweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6683,1,men,Featherweight,A: top-240 WITHOUT alt,0.8333333333333334,True
0,[6618-7117],6684,0,men,Lightweight,A: top-240 WITHOUT alt,0.4,True
0,[6618-7117],6685,1,men,Bantamweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6686,0,women,Women's Strawweight,A: top-240 WITHOUT alt,0.6335877862595419,False
0,[6618-7117],6687,1,men,Lightweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6688,0,men,Heavyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6689,1,men,Lightweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6690,1,men,Lightweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6691,0,women,Women's Bantamweight,A: top-240 WITHOUT alt,0.3333333333333333,False
0,[6618-7117],6692,1,men,Welterweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6693,1,men,Featherweight,A: top-240 WITHOUT alt,0.8333333333333334,True
0,[6618-7117],6694,1,women,Women's Bantamweight,A: top-240 WITHOUT alt,0.49390243902439024,False
0,[6618-7117],6695,0,men,Welterweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6696,1,men,Middleweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6697,0,men,Welterweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6698,1,men,Heavyweight,A: top-240 WITHOUT alt,0.6380368098159509,True
0,[6618-7117],6699,0,men,Light Heavyweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6700,1,men,Welterweight,A: top-240 WITHOUT alt,0.49390243902439024,True
0,[6618-7117],6701,1,men,Bantamweight,A: top-240 WITHOUT alt,0.6335877862595419,True
0,[6618-7117],6702,1,men,Light Heavyweight,A: top-240 WITHOUT alt,0.8333333333333334,True
