window,test_span,n,A_ll,B_ll,d_ll,A_acc,B_acc,d_acc,A_ece,B_ece,d_ece,slice
0,[6618-7117],414,0.6279494179530751,0.6341315178380723,0.006182099884997183,0.6352657004830918,0.6231884057971014,-0.012077294685990392,0.031318222173231026,0.03377925435834298,0.0024610321851119554,men
1,[7118-7617],421,0.6362152636293995,0.6363228568654453,0.00010759323604581095,0.6342042755344418,0.6437054631828979,0.009501187648456089,0.036985618847295655,0.046951001127864204,0.00996538228056855,men
2,[7618-8117],414,0.7737745585413575,0.6886700600214753,-0.08510449851988211,0.6159420289855072,0.606280193236715,-0.009661835748792202,0.043717935524769436,0.05302072338061806,0.009302787855848621,men
3,[8118-8617],421,0.6555231805084472,0.6423545076110474,-0.013168672897399758,0.6745843230403801,0.6769596199524941,0.002375296912114022,0.09176742734990899,0.06743579272156335,-0.024331634628345644,men
4,[8618-9117],434,0.6860068523829541,0.6509777334523278,-0.035029118930626324,0.6129032258064516,0.6405529953917051,0.027649769585253448,0.08783899020379006,0.11284179266619396,0.025002802462403897,men
0,[6618-7117],500,0.6392247142739522,0.6477154920163646,0.008490777742412359,0.62,0.608,-0.01200000000000001,0.01775910946713158,0.016692722377655896,-0.0010663870894756823,overall
1,[7118-7617],500,0.6401999917919377,0.6396505794566182,-0.0005494123353194658,0.632,0.638,0.006000000000000005,0.040362175201528294,0.05103270968537818,0.010670534483849886,overall
2,[7618-8117],500,0.7528921091128911,0.6835395466056677,-0.06935256250722333,0.618,0.612,-0.006000000000000005,0.031749216152689594,0.042858458666664254,0.01110924251397466,overall
3,[8118-8617],500,0.6790817780262249,0.6668568445914054,-0.012224933434819563,0.67,0.672,0.0020000000000000018,0.08452677373096967,0.06425615487557224,-0.020270618855397438,overall
4,[8618-9117],500,0.6664124801870243,0.6349652308920458,-0.03144724929497844,0.636,0.658,0.02200000000000002,0.06952995581221154,0.10089611679458964,0.0313661609823781,overall
