gym,elevation_ft,fighter_count_in_gym_file,fight_rows_using_gym,fighters_using_gym_in_fight_data
Cloud Akiyama,115,1,7,Yoshihiro Akiyama
K Dojo Warrior Tribe,187,3,25,Albert Tumenov; Alexander Yakovlev; Azamat Murzakanov
Mammadaliyev Team,-92,1,2,Tofiq Musayev
McBride MMA,958,1,2,Michael McBride
Mile High Militia,"5,280",1,12,Brandon Royval
Nova Uniae - Barro Flamingo,10,1,8,Francimar Barroso
"Projeto casa da cultura , amazon pro team",32,1,2,Larissa Pacheco
RVCA,98,1,15,Jalin Turner
S4 Wevszewe,361,1,6,Bartosz Fabinski
Tafa Gang,30,1,9,Justin Tafa
Team Amedovski,197,1,4,Alen Amedovski
Team Aoriqileng,"1,257",1,9,Aoriqileng
Team Diakiese,80,1,15,Marc Diakiese
Team Fluffy,"1,040",1,12,Anthony Hernandez
Team Hafez,"5,345",1,3,Bassil Hafez
Team Hu,"5,312",1,3,Hu Yaozong
Team Kazula,"7,350",1,4,Kazula Vargas
Team Nunes,10,1,18,Amanda Nunes
Team Nurmagomedov,"5,900",1,11,Said Nurmagomedov
Team Pogues,"2,001",1,6,Jamal Pogues
Team Potieria,590,1,9,Ihor Potieria
Team Reis & M80 Wrestling,16,1,6,Talita Alencar
Team Romanov,722,1,10,Alexandr Romanov
Team Topuria,16,1,10,Ilia Topuria
Team Tuivasa,16,1,18,Tai Tuivasa
The Fighting Nerds,"2,493",10,101,Bruna Brasil; Caio Borralho; Carlos Prates; Cezary Oleksiejczuk; Jean Silva; Karine Silva; Mairon Santos; Michal Oleksiejczuk; Ricardo Ramos; Thiago Moises
UFK Gladiator Maro Perak / Aspinall BJJ,135,1,3,Ante Delija
Valon Team,187,1,6,Bolaji Oki
