event_date,event_name,event_url,fight_url,event_location,r_fighter,b_fighter,weight_class,gender,total_rounds,is_title_bout,referee,winner,method,finish_round,time_sec,total_fight_time_sec,r_height,b_height,height_diff,r_reach,b_reach,reach_diff,r_ape_index,b_ape_index,ape_index_diff,r_stance,b_stance,r_weight,b_weight,weight_diff,r_date_of_birth,b_date_of_birth,r_age_at_event,b_age_at_event,age_at_event_diff,r_sig_str,b_sig_str,sig_str_diff,r_sig_str_att,b_sig_str_att,sig_str_att_diff,r_sig_str_acc,b_sig_str_acc,sig_str_acc_diff,r_str,b_str,str_diff,r_str_att,b_str_att,str_att_diff,r_str_acc,b_str_acc,str_acc_diff,r_kd,b_kd,kd_diff,r_head,b_head,head_diff,r_body,b_body,body_diff,r_leg,b_leg,leg_diff,r_distance,b_distance,distance_diff,r_clinch,b_clinch,clinch_diff,r_ground,b_ground,ground_diff,r_td,b_td,td_diff,r_td_att,b_td_att,td_att_diff,r_td_acc,b_td_acc,td_acc_diff,r_sub_att,b_sub_att,sub_att_diff,r_rev,b_rev,rev_diff,r_ctrl_sec,b_ctrl_sec,ctrl_sec_diff,r_name,b_name,r_rd1_kd,b_rd1_kd,r_rd1_sig_str,r_rd1_sig_str_att,b_rd1_sig_str,b_rd1_sig_str_att,r_rd1_str,r_rd1_str_att,b_rd1_str,b_rd1_str_att,r_rd1_td,r_rd1_td_att,b_rd1_td,b_rd1_td_att,r_rd1_sub_att,b_rd1_sub_att,r_rd1_rev,b_rd1_rev,r_rd1_ctrl_sec,b_rd1_ctrl_sec,r_rd1_head,r_rd1_head_att,b_rd1_head,b_rd1_head_att,r_rd1_body,r_rd1_body_att,b_rd1_body,b_rd1_body_att,r_rd1_leg,r_rd1_leg_att,b_rd1_leg,b_rd1_leg_att,r_rd1_distance,r_rd1_distance_att,b_rd1_distance,b_rd1_distance_att,r_rd1_clinch,r_rd1_clinch_att,b_rd1_clinch,b_rd1_clinch_att,r_rd1_ground,r_rd1_ground_att,b_rd1_ground,b_rd1_ground_att,r_rd2_kd,b_rd2_kd,r_rd2_sig_str,r_rd2_sig_str_att,b_rd2_sig_str,b_rd2_sig_str_att,r_rd2_str,r_rd2_str_att,b_rd2_str,b_rd2_str_att,r_rd2_td,r_rd2_td_att,b_rd2_td,b_rd2_td_att,r_rd2_sub_att,b_rd2_sub_att,r_rd2_rev,b_rd2_rev,r_rd2_ctrl_sec,b_rd2_ctrl_sec,r_rd2_head,r_rd2_head_att,b_rd2_head,b_rd2_head_att,r_rd2_body,r_rd2_body_att,b_rd2_body,b_rd2_body_att,r_rd2_leg,r_rd2_leg_att,b_rd2_leg,b_rd2_leg_att,r_rd2_distance,r_rd2_distance_att,b_rd2_distance,b_rd2_distance_att,r_rd2_clinch,r_rd2_clinch_att,b_rd2_clinch,b_rd2_clinch_att,r_rd2_ground,r_rd2_ground_att,b_rd2_ground,b_rd2_ground_att,r_rd3_kd,b_rd3_kd,r_rd3_sig_str,r_rd3_sig_str_att,b_rd3_sig_str,b_rd3_sig_str_att,r_rd3_str,r_rd3_str_att,b_rd3_str,b_rd3_str_att,r_rd3_td,r_rd3_td_att,b_rd3_td,b_rd3_td_att,r_rd3_sub_att,b_rd3_sub_att,r_rd3_rev,b_rd3_rev,r_rd3_ctrl_sec,b_rd3_ctrl_sec,r_rd3_head,r_rd3_head_att,b_rd3_head,b_rd3_head_att,r_rd3_body,r_rd3_body_att,b_rd3_body,b_rd3_body_att,r_rd3_leg,r_rd3_leg_att,b_rd3_leg,b_rd3_leg_att,r_rd3_distance,r_rd3_distance_att,b_rd3_distance,b_rd3_distance_att,r_rd3_clinch,r_rd3_clinch_att,b_rd3_clinch,b_rd3_clinch_att,r_rd3_ground,r_rd3_ground_att,b_rd3_ground,b_rd3_ground_att,r_rd4_kd,b_rd4_kd,r_rd4_sig_str,r_rd4_sig_str_att,b_rd4_sig_str,b_rd4_sig_str_att,r_rd4_str,r_rd4_str_att,b_rd4_str,b_rd4_str_att,r_rd4_td,r_rd4_td_att,b_rd4_td,b_rd4_td_att,r_rd4_sub_att,b_rd4_sub_att,r_rd4_rev,b_rd4_rev,r_rd4_ctrl_sec,b_rd4_ctrl_sec,r_rd4_head,r_rd4_head_att,b_rd4_head,b_rd4_head_att,r_rd4_body,r_rd4_body_att,b_rd4_body,b_rd4_body_att,r_rd4_leg,r_rd4_leg_att,b_rd4_leg,b_rd4_leg_att,r_rd4_distance,r_rd4_distance_att,b_rd4_distance,b_rd4_distance_att,r_rd4_clinch,r_rd4_clinch_att,b_rd4_clinch,b_rd4_clinch_att,r_rd4_ground,r_rd4_ground_att,b_rd4_ground,b_rd4_ground_att,r_rd5_kd,b_rd5_kd,r_rd5_sig_str,r_rd5_sig_str_att,b_rd5_sig_str,b_rd5_sig_str_att,r_rd5_str,r_rd5_str_att,b_rd5_str,b_rd5_str_att,r_rd5_td,r_rd5_td_att,b_rd5_td,b_rd5_td_att,r_rd5_sub_att,b_rd5_sub_att,r_rd5_rev,b_rd5_rev,r_rd5_ctrl_sec,b_rd5_ctrl_sec,r_rd5_head,r_rd5_head_att,b_rd5_head,b_rd5_head_att,r_rd5_body,r_rd5_body_att,b_rd5_body,b_rd5_body_att,r_rd5_leg,r_rd5_leg_att,b_rd5_leg,b_rd5_leg_att,r_rd5_distance,r_rd5_distance_att,b_rd5_distance,b_rd5_distance_att,r_rd5_clinch,r_rd5_clinch_att,b_rd5_clinch,b_rd5_clinch_att,r_rd5_ground,r_rd5_ground_att,b_rd5_ground,b_rd5_ground_att
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/64139d1d505e46c5,"Denver, Colorado, USA",Royce Gracie,Gerard Gordeau,Catch Weight,Men,3,1,Joao Alberto Barreto,Red,Submission,1,104,104,73,77,-4,,,,,,,Southpaw,Orthodox,175,216,-41,12/12/1966,3/30/1959,26,34,-8,1,0,1,2,0,2,0.5,0,0.5,3,0,3,4,0,4,0.75,0,0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,3,0.33,0,0.33,1,0,1,0,0,0,0,0,0,Royce Gracie,Gerard Gordeau,0,0,1,2,0,0,3,4,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/00b0796724ec1c09,"Denver, Colorado, USA",Jason DeLucia,Trent Jenkins,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,Submission,1,52,52,71,74,-3,,,,,,,Southpaw,,190,185,5,7/24/1969,None,24,,,3,1,2,9,7,2,0.33,0.14,0.19,3,1,2,9,7,2,0.33,0.14,0.19,0,0,0,1,0,1,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,2,0.5,0,0.5,1,0,1,0,0,0,0,0,0,Jason DeLucia,Trent Jenkins,0,0,3,9,1,7,3,9,1,7,1,2,0,0,1,0,0,0,0,0,3,7,0,5,0,1,0,1,0,1,1,1,3,9,1,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/ffd16691c4c4aafc,"Denver, Colorado, USA",Royce Gracie,Ken Shamrock,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,Submission,1,57,57,73,73,0,,72,,,0.99,,Southpaw,Orthodox,175,205,-30,12/12/1966,2/11/1964,26,29,-3,0,0,0,0,0,0,0,0,0,12,0,12,12,0,12,1,0,1,0,0,0,0.33,0,0.33,0.34,0,0.34,0.33,0,0.33,0.33,0,0.33,0.34,0,0.34,0.33,0,0.33,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,Royce Gracie,Ken Shamrock,0,0,0,0,0,0,12,12,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/ac7ca2ec38b96c1a,"Denver, Colorado, USA",Gerard Gordeau,Kevin Rosier,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,KO/TKO,1,59,59,77,76,1,,,,,,,Orthodox,Orthodox,216,275,-59,3/30/1959,None,34,,,11,0,11,17,3,14,0.65,0,0.65,11,0,11,17,3,14,0.65,0,0.65,1,0,1,0.63,0,0.63,0.09,0,0.09,0.27,0,0.27,0.45,0,0.45,0,0,0,0.54,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Gordeau,Kevin Rosier,1,0,11,17,0,3,11,17,0,3,0,0,0,0,0,0,0,0,0,0,7,13,0,1,1,1,0,1,3,3,0,1,5,8,0,3,0,0,0,0,6,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/46acd54cc0c905fb,"Denver, Colorado, USA",Ken Shamrock,Patrick Smith,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,Submission,1,109,109,73,74,-1,72,,,0.99,,,Orthodox,Orthodox,205,225,-20,2/11/1964,8/28/1963,29,30,-1,1,4,-3,1,8,-7,1,0.5,0.5,4,16,-12,4,20,-16,1,0.8,0.2,0,0,0,1,0.25,0.75,0,0.25,-0.25,0,0.5,-0.5,0,0.25,-0.25,0,0.25,-0.25,1,0.5,0.5,1,0,1,2,0,2,0.5,0,0.5,2,0,2,0,0,0,0,0,0,Ken Shamrock,Patrick Smith,0,0,1,1,4,8,4,4,16,20,1,2,0,0,2,0,0,0,0,0,1,1,1,4,0,0,1,1,0,0,2,3,0,0,1,1,0,0,1,1,1,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/cecdc0da584274b9,"Denver, Colorado, USA",Royce Gracie,Art Jimmerson,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,Submission,1,138,138,73,73,0,,,,,,,Southpaw,Orthodox,175,196,-21,12/12/1966,8/4/1963,26,30,-4,0,0,0,3,0,3,0,0,0,4,0,4,7,0,7,0.57,0,0.57,0,0,0,0.33,0,0.33,0.34,0,0.34,0.33,0,0.33,0.33,0,0.33,0.34,0,0.34,0.33,0,0.33,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Royce Gracie,Art Jimmerson,0,0,0,3,0,0,4,7,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/2d2bbc86e941e05c,"Denver, Colorado, USA",Kevin Rosier,Zane Frazier,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,KO/TKO,1,260,260,76,77,-1,,,,,,,Orthodox,Orthodox,275,250,25,None,None,,,,15,12,3,27,28,-1,0.56,0.43,0.13,38,13,25,53,29,24,0.72,0.45,0.27,2,0,2,0.8,0.58,0.22,0.2,0.25,-0.05,0,0.16,-0.16,0.26,0,0.26,0.26,0.83,-0.57,0.46,0.16,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Rosier,Zane Frazier,2,0,15,27,12,28,38,53,13,29,0,0,0,0,0,0,0,0,0,0,12,23,7,19,3,4,3,6,0,0,2,3,4,10,0,7,4,9,10,19,7,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/1993,UFC 1: The Beginning,http://ufcstats.com/event-details/6420efac0578988b,http://ufcstats.com/fight-details/567a09fd200cfa05,"Denver, Colorado, USA",Gerard Gordeau,Teila Tuli,Catch Weight,Men,3,0,Joao Alberto Barreto,Red,KO/TKO,1,26,26,77,72,5,,,,,,,Orthodox,Orthodox,216,430,-214,3/30/1959,6/14/1969,34,24,10,3,0,3,5,1,4,0.6,0,0.6,3,0,3,5,1,4,0.6,0,0.6,0,0,0,1,0,1,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0.66,0,0.66,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Gordeau,Teila Tuli,0,0,3,5,0,1,3,5,0,1,0,0,0,1,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/1994,UFC 2: No Way Out,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/00835554f95fa911,"Denver, Colorado, USA",Royce Gracie,Patrick Smith,Catch Weight,Men,3,1,John McCarthy,Red,KO/TKO,1,77,77,73,74,-1,,,,,,,Southpaw,Orthodox,175,225,-50,12/12/1966,8/28/1963,27,30,-3,4,1,3,4,2,2,1,0.5,0.5,11,2,9,11,3,8,1,0.67,0.33,0,0,0,0.75,0,0.75,0,1,-1,0.25,0,0.25,0,0,0,0.25,1,-0.75,0.75,0,0.75,1,0,1,2,0,2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,Royce Gracie,Patrick Smith,0,0,4,4,1,2,11,11,2,3,1,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,2,1,1,0,0,0,0,0,1,1,1,1,1,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/1994,UFC 2: No Way Out,http://ufcstats.com/event-details/a6a9ab5a824e8f66,http://ufcstats.com/fight-details/aa161c7159741766,"Denver, Colorado, USA",Royce Gracie,Remco Pardoel,Catch Weight,Men,3,0,John McCarthy,Red,Submission,1,91,91,73,75,-2,,,,,,,Southpaw,Southpaw,175,260,-85,12/12/1966,5/23/1969,27,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.34,0,0.34,0.33,0,0.33,0.33,0,0.33,0.34,0,0.34,0.33,0,0.33,1,0,1,2,0,2,0.5,0,0.5,1,0,1,0,0,0,0,0,0,Royce Gracie,Remco Pardoel,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
