fighter_name,trains_at
Aaron Phillips,Headkicks MMA
Aaron Pico,Jackson Wink MMA Academy - NM
Abdul Rakhman Yakhyaev,MMA Nuemberg
Abdul Razak Alhassan,Team Elevation
Abel Trujillo,"Blackzilians - Boca Raton, FL"
Abner Lloveras,SKULLMAN / Gracie Barcelona - Spain
Adam Fugitt,Fight Ready
Adam Hunter,"Ottawa Academy of Martial Arts. Ottawa, ON"
Adam Milstead,"Mark Chericos Martial Arts, Pittsburgh PA"
Adrián Luna Martinetti,UFC Performance Institue Mexico City
Adrian Yanez,Metro Fight Club
Adriano Martins,"American Top Team ATT Coconut Creek, FL"
Aiemann Zahabi,Tristar Gym - Montreal
Ailin Perez,Goat Shed Academy
Aisling Daly,SBG Ireland
AJ Cunningham,Factory X
Akbarh Arreola,"Entram Gym - Tijuana, Baja CA"
Al Iaquinta,"Serra-Longo - Long Island, NY"
Alan Baudot,"MMA Factory - Paris, France"
Alan Jouban,Black House MMA
Alan Patrick,XGYM - Rio de Janeiro
Alatengheili,"Fight Ready - Scottsdale, AZ"
Albert Tumenov,K Dojo Warrior Tribe
Alberto Mina,Epic MMA Club - Hong Kong
Alberto Montes,Goat Shed
Alden Coria,"4oz Fight Club, Aztlan Boxing"
Alejandro Pérez,AKA (American Kickboxing Academy) San Jose
Aleksa Camur,Strong Style Cleveland
Aleksandar Rakić,American Top Team Zagreb
Aleksei Oleinik,School of MMA of Alexey Oleynik
Alen Amedovski,Team Amedovski
Alessandro Ricci,Mi Thai Boxing System; Parabellum MMA
Alessio Di Chirico,"Hung Mun, Rome, Italy"
Alex Caceres,"MMA LAB - Glendale, AZ"
Alex Chambers,"VT1 Gym- Sydney, Australia"
Alex Garcia,Tristar Gym - Montreal
Alex Morono,Gracie Barra The Woodlands
Alex Nicholson,"American Top Team - Orlando, FL"
Alex Oliveira,TATA Fight Team - Rio de Janeiro
Alex Pereira,"Teixeira MMA & Fitness-Bethel, CT"
Alex Perez,Team Oyama
Alex White,Destruction MMA- Park Hills
Alexa Grasso,Lobo Gym MMA
Alexander Gustafsson,Allstars Training Center
Alexander Munoz,Team Alpha Male
Alexander Volkanovski,Freestyle Fighting Gym
Alexander Volkov,Global Fight Gym
Alexander Yakovlev,K Dojo Warrior Tribe
Alexandr Romanov,Team Romanov
Alexandre Pantoja,American Top Team
Alexia Thainara,Academia Ribas Family / Team LJ combat
Alexis Davis,Resistance Fight Team
Ali Bagautinov,"Fight Nights Gym - Moscow, RU"
Alice Ardelean,Fusion X-Cel
Alice Pereira,Life MMA / Portugal Top Team
Alistair Overeem,Joel Diaz Boxing
Aljamain Sterling,"Serra-Longo - Long Island, NY"
Allan Nascimento,Chute Boxe
Allen Frye Jr.,Brunsons MMA and Fitness
Alvaro Herrera,Joel Diaz Boxing
Alvin Hines,La Bodega
Amanda Lemos,Marajo Brothers
Amanda Nunes,Team Nunes
Amir Albazi,Atreus MMA
Andre Ewell,Apex MMA
Andre Fialho,Sanford MMA
Andre Fili,Team Alpha Male (Urijah Faber's Ultimate Fitness)
Andre Lima,Chute Boxe
Andre Muniz,TATA Fight Team - Rio de Janeiro
Andre Petroski,Marquez MMA
Andrea Lee,Team Lee
Andreas Gustafsson,Västerås Fight Club
Andrei Arlovski,"American Top Team ATT Coconut Creek, FL"
Andrew Holbrook,"Indy Boxing and Grappling - Indianapolis, IN"
Andrew Sanchez,Tristar Gym - Montreal
Andrey Pulyaev,Storm School
Angela Magana,Alliance MMA - Chula Vista
Anna Elmose,Rumble Sports - Copenhagen
Ante Delija,UFK Gladiator Maro Perak / Aspinall BJJ
Anthony Birchak,Joel Diaz Boxing
Anthony Hamilton,Joel Diaz Boxing
Anthony Hernandez,Team Fluffy
Anthony Johnson,"Blackzilians - Boca Raton, FL"
Anthony Perosh,Sinosic Perosh Martial Arts SPMA Sydney
Anthony Pettis,Roufusport
Anthony Rocco Martin,Sityodtong Boston MA / Perfomrance Compound St. Cloud MN
Anthony Smith,"Mick Doyle's Kickboxing - Omaha, NE"
Anton Zafir,Whitsunday Martial Arts - Airlie Beach
Antonio Arroyo,Jackson Wink MMA Academy - NM
Antonio Braga Neto,OF MMA
