gym,fighter_count,example_fighters,google_search_url,google_places_query,resolved_address,latitude,longitude,elevation_m,elevation_ft,google_place_id,lookup_status,notes
011 MMA TEAM,1,Marcos Rogerio de Lima,https://www.google.com/search?q=011+MMA+TEAM+MMA+gym+location+elevation,011 MMA TEAM,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
1-2-40 yoshimachi soukashi saitamaken,1,Shinsho Anzai,https://www.google.com/search?q=1-2-40+yoshimachi+soukashi+saitamaken+MMA+gym+location+elevation,1-2-40 yoshimachi soukashi saitamaken,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
10th Planet Jiu-Jitsu,1,Daniel Rodriguez,https://www.google.com/search?q=10th+Planet+Jiu-Jitsu+MMA+gym+location+elevation,10th Planet Jiu-Jitsu,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
4oz Fight Club,5,Dakota Hope; Daniel Pineda; Derrick Lewis; Joshua Van; Michael Aswell Jr.,https://www.google.com/search?q=4oz+Fight+Club+MMA+gym+location+elevation,4oz Fight Club,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"4oz Fight Club, Aztlan Boxing",1,Alden Coria,https://www.google.com/search?q=4oz+Fight+Club%2C+Aztlan+Boxing+MMA+gym+location+elevation,"4oz Fight Club, Aztlan Boxing",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
971 MMA,1,Mounir Lazzez,https://www.google.com/search?q=971+MMA+MMA+gym+location+elevation,971 MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Abdulmanap Nurmagomedov School,1,Muslim Salikhov,https://www.google.com/search?q=Abdulmanap+Nurmagomedov+School+MMA+gym+location+elevation,Abdulmanap Nurmagomedov School,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
ABJJ + Gracie Barra Alaska,1,Jared Cannonier,https://www.google.com/search?q=ABJJ+%2B+Gracie+Barra+Alaska+MMA+gym+location+elevation,ABJJ + Gracie Barra Alaska,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Absolute MMA,1,Kaan Ofli,https://www.google.com/search?q=Absolute+MMA+MMA+gym+location+elevation,Absolute MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Absolute MMA and Fitness,1,Ricky Glenn,https://www.google.com/search?q=Absolute+MMA+and+Fitness+MMA+gym+location+elevation,Absolute MMA and Fitness,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Absoluto Fighting Center,1,Cristina Stanciu,https://www.google.com/search?q=Absoluto+Fighting+Center+MMA+gym+location+elevation,Absoluto Fighting Center,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Academa CM System,1,Elizeu Zaleski dos Santos,https://www.google.com/search?q=Academa+CM+System+MMA+gym+location+elevation,Academa CM System,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Academia Corinthians - Sao Paulo,1,Douglas Silva de Andrade,https://www.google.com/search?q=Academia+Corinthians+-+Sao+Paulo+MMA+gym+location+elevation,Academia Corinthians - Sao Paulo,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Academia Fight House,1,Virna Jandiroba,https://www.google.com/search?q=Academia+Fight+House+MMA+gym+location+elevation,Academia Fight House,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Academia Octógono,1,Manoel Sousa,https://www.google.com/search?q=Academia+Oct%C3%B3gono+MMA+gym+location+elevation,Academia Octógono,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Academia Ribas Family / Team LJ combat,1,Alexia Thainara,https://www.google.com/search?q=Academia+Ribas+Family+%2F+Team+LJ+combat+MMA+gym+location+elevation,Academia Ribas Family / Team LJ combat,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Academia Sidney, Sao Paulo",1,Reginaldo Vieira,https://www.google.com/search?q=Academia+Sidney%2C+Sao+Paulo+MMA+gym+location+elevation,"Academia Sidney, Sao Paulo",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Academy of Combat Arts (ACA) Fargo, ND",1,Timothy Johnson,https://www.google.com/search?q=Academy+of+Combat+Arts+%28ACA%29+Fargo%2C+ND+MMA+gym+location+elevation,"Academy of Combat Arts (ACA) Fargo, ND",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
AFC VILLALBA / BJJ GANDO,1,Hecher Sosa,https://www.google.com/search?q=AFC+VILLALBA+%2F+BJJ+GANDO+MMA+gym+location+elevation,AFC VILLALBA / BJJ GANDO,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Agema Jiu-Jitsu,1,Court McGee,https://www.google.com/search?q=Agema+Jiu-Jitsu+MMA+gym+location+elevation,Agema Jiu-Jitsu,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
AKA (American Kickboxing Academy) San Jose,7,Alejandro Pérez; Cain Velasquez; Daniel Cormier; Gabriel Benitez; Islam Makhachev,https://www.google.com/search?q=AKA+%28American+Kickboxing+Academy%29+San+Jose+MMA+gym+location+elevation,AKA (American Kickboxing Academy) San Jose,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
AKA - Thailand,1,Mark Hunt,https://www.google.com/search?q=AKA+-+Thailand+MMA+gym+location+elevation,AKA - Thailand,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
AKA / Eagles MMA,1,Tagir Ulanbekov,https://www.google.com/search?q=AKA+%2F+Eagles+MMA+MMA+gym+location+elevation,AKA / Eagles MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Akhmat Fight Club,1,Ruslan Magomedov,https://www.google.com/search?q=Akhmat+Fight+Club+MMA+gym+location+elevation,Akhmat Fight Club,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Alan Belcher MMA - Diberville, MS",1,Jason Knight,https://www.google.com/search?q=Alan+Belcher+MMA+-+Diberville%2C+MS+MMA+gym+location+elevation,"Alan Belcher MMA - Diberville, MS",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Alavanca,1,Melissa Croden,https://www.google.com/search?q=Alavanca+MMA+gym+location+elevation,Alavanca,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Aligatores Fight Club,1,Iwo Baraniewski,https://www.google.com/search?q=Aligatores+Fight+Club+MMA+gym+location+elevation,Aligatores Fight Club,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
All In MMA,1,Francisco Rivera,https://www.google.com/search?q=All+In+MMA+MMA+gym+location+elevation,All In MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Alliance MMA,2,Dwight Grant; Matt Sayles,https://www.google.com/search?q=Alliance+MMA+MMA+gym+location+elevation,Alliance MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Alliance MMA - Chula Vista,8,Angela Magana; Bec Rawlings; Erik Perez; Jeremy Stephens; Jessica Penne,https://www.google.com/search?q=Alliance+MMA+-+Chula+Vista+MMA+gym+location+elevation,Alliance MMA - Chula Vista,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Alliance Training Center East -Santee,2,Dominick Cruz; Myles Jury,https://www.google.com/search?q=Alliance+Training+Center+East+-Santee+MMA+gym+location+elevation,Alliance Training Center East -Santee,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Allstars Training Center,6,Alexander Gustafsson; David Teymur; Josefine Knutsson; Mark Vologdin; Reza Madadi,https://www.google.com/search?q=Allstars+Training+Center+MMA+gym+location+elevation,Allstars Training Center,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Allstars Training Center - Stockholm, Sweden",1,Ilir Latifi,https://www.google.com/search?q=Allstars+Training+Center+-+Stockholm%2C+Sweden+MMA+gym+location+elevation,"Allstars Training Center - Stockholm, Sweden",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Allstarts Gym,3,Benardo Sopaj; Guram Kutateladze; Makwan Amirkhani,https://www.google.com/search?q=Allstarts+Gym+MMA+gym+location+elevation,Allstarts Gym,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"AMC Pankration, Kirkland, WA",1,Demetrious Johnson,https://www.google.com/search?q=AMC+Pankration%2C+Kirkland%2C+WA+MMA+gym+location+elevation,"AMC Pankration, Kirkland, WA",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
American Kickboxing Academy (AKA),1,Deron Winn,https://www.google.com/search?q=American+Kickboxing+Academy+%28AKA%29+MMA+gym+location+elevation,American Kickboxing Academy (AKA),,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
American Top Team,38,Alexandre Pantoja; Austin Vanderford; Azamat Bekoev; Bia Mesquita; Bo Nickal,https://www.google.com/search?q=American+Top+Team+MMA+gym+location+elevation,American Top Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"American Top Team - Atlanta, GA",2,Dhiego Lima; Roan Carneiro,https://www.google.com/search?q=American+Top+Team+-+Atlanta%2C+GA+MMA+gym+location+elevation,"American Top Team - Atlanta, GA",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"American Top Team - OKC, OK",1,Jerrod Sanders,https://www.google.com/search?q=American+Top+Team+-+OKC%2C+OK+MMA+gym+location+elevation,"American Top Team - OKC, OK",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"American Top Team - Orlando, FL",1,Alex Nicholson,https://www.google.com/search?q=American+Top+Team+-+Orlando%2C+FL+MMA+gym+location+elevation,"American Top Team - Orlando, FL",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"American Top Team ATT Coconut Creek, FL",31,Adriano Martins; Andrei Arlovski; Antonio Carlos Junior; Antonio Silva; Brad Pickett,https://www.google.com/search?q=American+Top+Team+ATT+Coconut+Creek%2C+FL+MMA+gym+location+elevation,"American Top Team ATT Coconut Creek, FL",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
American Top Team Europe - Zagreb,1,Igor Pokrajac,https://www.google.com/search?q=American+Top+Team+Europe+-+Zagreb+MMA+gym+location+elevation,American Top Team Europe - Zagreb,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
American Top Team Zagreb,1,Aleksandar Rakić,https://www.google.com/search?q=American+Top+Team+Zagreb+MMA+gym+location+elevation,American Top Team Zagreb,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"American Top Team, Grappling Kraków",1,Robert Ruchala,https://www.google.com/search?q=American+Top+Team%2C+Grappling+Krak%C3%B3w+MMA+gym+location+elevation,"American Top Team, Grappling Kraków",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
