gym,fighter_count,example_fighters,elevation_ft
011 MMA TEAM,1,Marcos Rogerio de Lima,2668.7
1-2-40 yoshimachi soukashi saitamaken,1,Shinsho Anzai,23.8
10th Planet Jiu-Jitsu,1,Daniel Rodriguez,621.8
4oz Fight Club,5,Dakota Hope; Daniel Pineda; Derrick Lewis; Joshua Van; Michael Aswell Jr.,130.8
"4oz Fight Club, Aztlan Boxing",1,Alden Coria,89.5
971 MMA,1,Mounir Lazzez,24.1
Abdulmanap Nurmagomedov School,1,Muslim Salikhov,519.4
ABJJ + Gracie Barra Alaska,1,Jared Cannonier,107.3
Absolute MMA,1,Kaan Ofli,4350.6
Absolute MMA and Fitness,1,Ricky Glenn,832.4
Absoluto Fighting Center,1,Cristina Stanciu,217.7
Academa CM System,1,Elizeu Zaleski dos Santos,2741.8
Academia Corinthians - Sao Paulo,1,Douglas Silva de Andrade,2381.2
Academia Fight House,1,Virna Jandiroba,2502.6
Academia Octógono,1,Manoel Sousa,2492.8
Academia Ribas Family / Team LJ combat,1,Alexia Thainara,3059.8
"Academia Sidney, Sao Paulo",1,Reginaldo Vieira,2626.7
"Academy of Combat Arts (ACA) Fargo, ND",1,Timothy Johnson,901.1
AFC VILLALBA / BJJ GANDO,1,Hecher Sosa,2891.7
Agema Jiu-Jitsu,1,Court McGee,4507.1
AKA (American Kickboxing Academy) San Jose,7,Alejandro Pérez; Cain Velasquez; Daniel Cormier; Gabriel Benitez; Islam Makhachev,209.7
AKA - Thailand,1,Mark Hunt,91.9
AKA / Eagles MMA,1,Tagir Ulanbekov,552.5
Akhmat Fight Club,1,Ruslan Magomedov,423.2
"Alan Belcher MMA - Diberville, MS",1,Jason Knight,17.7
Alavanca,1,Melissa Croden,3533.2
Aligatores Fight Club,1,Iwo Baraniewski,369.2
All In MMA,1,Francisco Rivera,160.7
Alliance MMA,2,Dwight Grant; Matt Sayles,457.5
Alliance MMA - Chula Vista,8,Angela Magana; Bec Rawlings; Erik Perez; Jeremy Stephens; Jessica Penne,44.5
Alliance Training Center East -Santee,2,Dominick Cruz; Myles Jury,1226.1
Allstars Training Center,6,Alexander Gustafsson; David Teymur; Josefine Knutsson; Mark Vologdin; Reza Madadi,62.2
"Allstars Training Center - Stockholm, Sweden",1,Ilir Latifi,62.2
Allstarts Gym,3,Benardo Sopaj; Guram Kutateladze; Makwan Amirkhani,701.1
"AMC Pankration, Kirkland, WA",1,Demetrious Johnson,167.9
American Kickboxing Academy (AKA),1,Deron Winn,209.7
American Top Team,38,Alexandre Pantoja; Austin Vanderford; Azamat Bekoev; Bia Mesquita; Bo Nickal,755.4
"American Top Team - Atlanta, GA",2,Dhiego Lima; Roan Carneiro,829
"American Top Team - OKC, OK",1,Jerrod Sanders,1265.5
"American Top Team - Orlando, FL",1,Alex Nicholson,75.5
"American Top Team ATT Coconut Creek, FL",31,Adriano Martins; Andrei Arlovski; Antonio Carlos Junior; Antonio Silva; Brad Pickett,14
American Top Team Europe - Zagreb,1,Igor Pokrajac,400.5
American Top Team Zagreb,1,Aleksandar Rakić,400.5
"American Top Team, Grappling Kraków",1,Robert Ruchala,760.5
Anchorage Brazilian Jiu Jitsu,1,Uroš Medić,107.3
Ankos MMA,1,Klaudia Sygula,230.8
"Ankos MMA - Zabikowska 66, Lubon",1,Veronica Hardy,230.8
"Ankos MMA - Zapaśniczy 67, Warszawa",1,Jan Błachowicz,370.3
Ankos Zapasy Warszwa-Wcawarszawa,1,Daniel Omielanczuk,328.5
Apex MMA,1,Andre Ewell,652.3
Arizona Combat Sports,1,Tyrell Fortune,1149.7
"Arizona combat sports/mma lab phoenix, az",1,John Moraga,1338.5
ARRACHION OLSZTYN,1,Joanna Jędrzejczyk,414.4
Ascensino MMA,1,Raphael Assunção,1293.7
Astra Fight Team,2,Darren Till; Glaico Franca,3.9
ASW (Manchester),1,Scott Askham,95.1
Atreus MMA,1,Amir Albazi,261.2
Austin Kickboxing Academy,1,Daniel Jolly,641
"Ban Team, Vila Velebita 1G Zagreb",1,Filip Pejic,437.1
Bang Muay Thai,1,Trevor Peek,5431.3
Bangtao Muay Thai,1,Casey O'Neill,29
Bangtao Muay Thai and MMA,1,Zhang Mingyang,29
"Banks MMA - Tampa, FL",1,Geane Herrera,19.8
Beijing Black Tiger,1,Song Kenan,131.7
Bellmore Kickboxing (NY),2,Gian Villante; Gregor Gillespie,10.5
BK MMA,1,Timmy Cuamba,627.4
BKK / Tristar,1,Arnold Allen,12
Black Combat,1,SuYoung You,34.4
Black House MMA,7,Alan Jouban; James Moontasri; Justine Kish; Kevin Casey; Lyoto Machida,51
"Blackzilians - Boca Raton, FL",9,Abel Trujillo; Anthony Johnson; Cezar Ferreira; Danny Roberts; Kamaru Usman,16.3
Bloodline Combat Sports,1,Rafa Garcia,247.3
Bloodline CSA,1,Lerryan Douglas,247.3
BMF Ranch,1,Donald Cerrone,6607.5
Bonebreakers Central,1,Augusto Montano,7316.3
Bonfim Brothers Academy,1,Gabriel Bonfim,3098.2
Brazilian TKO,1,Brunno Ferreira,2978.1
Brazilian Top Team,2,Charles Jourdain; Jose Delano,626.4
Brazilian Warriors / Lobo Gym,1,Diego Lopes,6922.1
Brett Mason's Elite Combat Academy,1,Victoria Leonardo,599.7
Bronx's Gold Team,1,Charles Oliveira,116.7
Brunsons MMA and Fitness,1,Allen Frye Jr.,42.3
BST Academy,1,Jordan Vucenic,260.1
BTT Canada,1,Patrick Cote,124.4
Budokan Martial Arts,1,Randy Brown,20.8
Bulgarian Top Team,1,Oumar Sy,3652.1
Bulldog Boxing,1,Ramon Taveras,694.1
Bulldozer MMA,1,Tanner Boser,2047.2
Bushido Academy Avignon,1,Cyril Asker,99.2
California Mixed Martial Arts,1,Chris Padilla,50.4
Carioca Academy,1,Ketlen Souza,235.7
Carolina Combat Sports and Fitness,1,Bryan Battle,635
Cave MMA Academy,1,Mizuto Hirota,954.4
Central Coast MMA,1,Jamie Mullarkey,33.3
Central Valley Combat Academy,1,Joe Soto,458.8
Centro Deportivo Tíbet,1,Joel Álvarez,49
Cerrado MMA,1,Ismael Bonfim,3457.4
Cesar Gracie Fight Team,1,Nick Diaz,45.5
Champions Creed MMA,2,Chad Anheliger; Hakeem Dawodu,3437.8
Checkmat Vancouver,1,Tristan Connelly,9.7
"Chicago Fight Team - Chicago, IL",1,Horacio Gutierrez,610.3
China Team,1,Bruno Lopes,633.5
China Top Team Beijing,2,Li Jingliang; Yan Xiaonan,146.1
"China Top Team SidDaoKou Street, Haidian Diserice",1,Yao Zhikui,170.1
Church St Boxing Gym,1,Phillipe Nover,38.3
Chute Boxe,9,Allan Nascimento; Andre Lima; Daniel Santos; Elves Brener; Jose Ochoa,2510
Chute Boxe - Sao Paulo,1,Thomas Almeida,2510
Chute Boxe Monstro,1,Rafael Tobias,2924.6
CIT MMA,1,Dricus Du Plessis,4456.8
City Kickboxing,12,Blood Diamond; Brad Riddell; Brando Peričić; Cam Rowston; Carlos Ulberg,880.1
"Classic Fight Team, Costa Mesa CA",2,Kay Hansen; Matthew Lopez,33.9
Cloud Akiyama,1,Yoshihiro Akiyama,
CM System,2,Felipe Silva; Vitor Petrino,3197.4
"Coalizao - Belem, Brazil",1,Michel Prazeres,5.6
Cobra Kai Victorville,1,Dominick Reyes,3141.6
"Cobra Team, The Q MMA",1,Shane Collins,681.7
"Cobra-Kai- Osaka, Japan",1,Kiichi Kunimoto,4.1
Colorado Springs BJJ,1,Raquel Pennington,6162.8
Combat 1 MMA / Australian Elite Team,1,Jonathan Micallef,42.2
Combat Sports & Fitness,1,Elisha Ellison,23.5
Combat Sports Academy,1,Gaston Bolanos,38.4
Combat Submission Wrestling,2,Jessamyn Duke; Josh Barnett,307.7
"Complete Fitness & Martial Arts - St. Albert, Alberta",1,Sheldon Westcott,2253.6
"Complete Fitness- St, Alberta/ MMA Lab- Glendale, AZ",1,Mitch Clarke,1338.5
Constrictor Team Brazilia,1,Rani Yahya,3602.8
Cosme Junior Team,1,Kevin Christian,235.2
Countershot Guam / Son BJJ Las Vegas,1,Jon Delos Reyes,1789
Country Club,1,Roy Nelson,648.6
cross Fight paris,1,Taylor Lapilus,283.7
CSA Team Moldova,1,Ion Cutelaba,527.8
Culture of Jiu Jitsu,1,Max Gimenis,505.2
Czech Monster Gym,1,Makhmud Muradov,618.2
Dag Fighter Team,1,Omari Akhmedov,639.5
Dan Henderson's Athletic Fitness Center,1,Dan Henderson,1018.8
Daniel Gracie Team,1,Jeremiah Wells,860.9
Dante Rivera BJJ,2,Eric Nolan; Luke Fernandez,136.4
Dar Team,1,Asu Almabayev,2995.2
Destruction MMA- Park Hills,1,Alex White,867.2
Diaz Combat Sports,1,Jamie Siraj,53.5
"Dinky Ninja Fight Team, Fife Scotland",2,Joanne Wood; Stevie Ray,128.8
Dragons Den Fight Club,1,Marek Bujlo,281.1
Dutch Style MMA/ UFC Gym Lombard IL,1,Curtis Blaydes,745.4
Dynamix MMA,1,Jordan Wright,203
ECR Fight Center,1,Montse Rendon,22.2
Eduardo Full House,1,Antonio Trocoli,618.2
"El Nino Training Center - San Francisco, CA",3,Gilbert Melendez; Hyder Amil; Leslie Smith,22.1
"Elevation Fight Team - Denver, CO",6,Bojan Velickovic; Brandon Thatch; Cat Zingano; Drew Dober; Neil Magny,5532.3
Elite MMA Gym,1,Bas Rutten,599.7
Elite Training Center,1,Josias Musasa,599.7
Entram Gym,3,Daniel Barez; Jesus Aguilar; Silvana Gomez Juarez,75.4
"Entram Gym (Tijuana, Mexico) and Alliance MMA (San Diego, CA)",1,Henry Briones,75.4
"Entram Gym - Tijuana, Baja CA",3,Akbarh Arreola; Marcelo Rojo; Marco Polo Reyes,75.4
Epic MMA Club - Hong Kong,1,Alberto Mina,61.7
Evolucao Thai - Curitiba,5,Bruno Silva; Cesar Arzamendia; Francisco Trinaldo; Rony Jason; Sergio Moraes,2930.2
Evolve mma Singapore,1,Leandro Issa,-2.8
EXFIGHT,2,Keiichiro Nakamura; Rinya Nakamura,101.7
Extreme Combat,1,ChangHo Lee,89.5
Factory X,11,AJ Cunningham; Cody Brundage; David Onama; Elijah Smith; Isaac Dulgarian,59.4
"Factory X - Englewood, CO",2,Chris Camozzi; Collin Anglin,5315.2
Faglier’s MMA,1,Malcolm Wellmaker,338
"Family Fight Team (Novi Sad, SERBIA)",1,Bojan Mihajlovic,255.9
"Fifty/50 - Falls Church, VA",1,Ryan Hall,336.2
"Fight Club No1 - Moscow, Russia",1,Nikita Krylov,639.3
"Fight Fit Militia- Sunnighill, Johannesburg",1,Garreth McLellan,4718.1
"Fight Fitness - Montequinto, Sevilla, Spain",1,Enrique Marin,96.5
